Sequence;Species1;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size
3433.0;Ceyx azureus;Alcedinidae;Coraciiformes;AVIBASE-AC4118FA;6;0;1;5;4;49.0;39.6;6.6;8.6;10.3;74.0;18.3;55.4;24.9;35.2;34.9;Dunning;;NO;;;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;-43.64;2.65;-20.15;141.77;3398489.47
3419.0;Ceyx cajeli;Alcedinidae;Coraciiformes;AVIBASE-1761DCEB;14;5;7;2;4;37.3;29.2;7.4;8.6;10.6;62.4;13.7;49.5;21.7;26.4;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-3.84;-3.05;-3.42;126.63;8554.31
3425.0;Ceyx collectoris;Alcedinidae;Coraciiformes;AVIBASE-416A62A1;11;6;5;0;4;41.7;33.9;7.8;8.1;9.7;61.8;12.1;50.8;19.2;25.4;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-8.83;-7.57;-8.23;157.36;4988.07
3428.0;Ceyx cyanopectus;Alcedinidae;Coraciiformes;AVIBASE-67DF541C;15;5;10;0;4;39.4;30.3;6.2;7.6;9.9;58.3;14.5;44.2;24.7;25.0;21.5;Dunning;;NO;;;Riverine;1;1.0;Carnivore;Aquatic predator;Insessorial;11.73;18.65;15.59;121.47;111263.19
3421.0;Ceyx dispar;Alcedinidae;Coraciiformes;AVIBASE-55DAB8DF;5;2;3;0;4;42.8;35.6;7.7;8.4;9.9;62.7;11.9;51.2;18.8;26.4;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-2.25;-1.96;-2.09;146.93;1878.51
3415.0;Ceyx erithaca;Alcedinidae;Coraciiformes;AVIBASE-318C3891;12;4;4;4;6;36.1;29.5;7.1;7.8;8.3;58.2;8.0;50.6;13.7;24.8;17.8;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-10.32;27.49;8.98;102.67;3196823.57
3412.0;Ceyx fallax;Alcedinidae;Coraciiformes;AVIBASE-E7EB8D33;10;1;3;6;2;34.4;25.2;7.6;7.1;8.5;58.0;13.0;45.0;22.4;23.1;18.0;Dunning;;NO;;;Woodland;1;1.0;Carnivore;Invertivore;Insessorial;-5.71;1.76;-2.02;121.04;157661.88
3430.0;Ceyx flumenicola;Alcedinidae;Coraciiformes;AVIBASE-5514B980;5;2;3;0;4;36.9;29.9;6.3;7.3;8.8;57.6;13.9;43.1;24.5;22.8;17.8;DataFromSplit;;NO;;;Riverine;1;1.0;Carnivore;Aquatic predator;Insessorial;9.59;12.59;11.27;124.85;23319.06
3427.0;Ceyx gentianus;Alcedinidae;Coraciiformes;AVIBASE-1F293B90;10;5;5;0;4;39.4;31.6;7.2;8.0;10.5;61.9;12.6;50.5;20.0;27.8;21.3;DataFromSplit;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-10.83;-10.14;-10.53;161.82;3331.79
3417.0;Ceyx lepidus;Alcedinidae;Coraciiformes;AVIBASE-B3012D2B;5;3;2;0;4;37.1;30.9;7.8;8.4;9.9;59.6;13.0;47.5;21.5;24.0;21.3;Dunning;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-4.78;2.65;-1.01;128.59;43842.15
